group,gender and age,count
Your Fans,Male, 25-34,3394
Your Fans,Male, 35-44,2612
Your Fans,Undisclosed, 18-24,2487
Your Fans,Male, 18-24,2303
Your Fans,Undisclosed, 25-34,2244
Your Fans,Undisclosed, 13-17,1389
Your Fans,Undisclosed, 35-44,1350
Your Fans,Male, 45-54,1147
Your Fans,Male, 13-17,1002
Your Fans,Undisclosed, 45-54,636
Your Fans,Female, 25-34,575
Your Fans,Female, 18-24,494
Your Fans,Female, 35-44,475
Your Fans,Female, 45-54,283
Your Fans,Male, 55-64,269
Your Fans,Undisclosed, 55-64,168
Your Fans,Female, 13-17,151
Your Fans,Male, 65+,109
Your Fans,Undisclosed, 65+,96
Your Fans,Female, 55-64,75
Your Fans,Female, 65+,18