group,country,count
Your Fans,JP,17351
Your Fans,US,12399
Your Fans,BR,6885
Your Fans,PH,3273
Your Fans,GB,2945
Your Fans,MX,2566
Your Fans,AU,2457
Your Fans,TH,1945
Your Fans,CA,1496
Your Fans,PL,1490
Your Fans,CZ,1457
Your Fans,FR,1418
Your Fans,DE,1140
Your Fans,HR,896
Your Fans,IT,828
Your Fans,ES,828
Your Fans,KH,662
Your Fans,PT,661
Your Fans,PE,627
Your Fans,AR,598
Your Fans,MY,564
Your Fans,NZ,513
Your Fans,NL,483
Your Fans,IE,471
Your Fans,CL,429
Your Fans,MM,405
Your Fans,KR,382
Your Fans,VN,382
Your Fans,IN,379
Your Fans,TW,374
Your Fans,SK,335
Your Fans,ID,299
Your Fans,BE,271
Your Fans,HK,269
Your Fans,SE,269
Your Fans,BO,263
Your Fans,PK,254
Your Fans,CH,249
Your Fans,RS,222
Your Fans,MA,222
Your Fans,SG,221
Your Fans,AT,210
Your Fans,MN,207
Your Fans,CO,206
Your Fans,GR,195