hashtags,Posts count,Reach,Engagement Rate
#PFLCapeTown,1,8385,2.55
#SuperRIZIN4,99,15122.373737373737,1.9452525252525246
#MoeriSuda,2,7216.5,1.7750000000000001
#NOEL,2,16766.5,1.65
#RIZIN,29,19988.58620689655,1.4351724137931037
#MikioUeda,1,4664,1.24
#SeikaIzawa,3,4286.666666666667,1.4766666666666666
#KyomaAkimoto,2,6316.5,3.725
#HiromasaOugikubo,3,5447.666666666667,1.4966666666666668
#TakakiSoya,2,6248,1.455
#MakotoShinryu,2,5398,1.5950000000000002
#ErsonYamamoto,2,6464,1.255
#MasanoriKanehara,2,4577,1.665
#YAMAN,2,4488.5,1.9
#PatrickyPitbull,2,3143.5,1.72
#ShuntaNomura,2,3188,1.655
#NaokiInoue,3,4301,1.8366666666666667
#RyuyaFukuda,3,5482,1.5599999999999998
#MikuruAsakura,2,14947.5,3.09
#KleberKoike,3,8581.333333333334,2.22
#RIZIN_CONFESSIONS,2,7732,0.9550000000000001
#187,2,7732,0.9550000000000001
#RIZINtv,61,11627.573770491803,1.7424590163934424
#RIZINFlyweightTournament2025,14,5367.857142857143,2.245
#RIZINHeavyweightTournament2025,3,6966.666666666667,1.0999999999999999
#RIZIN48,1,11550,1.83
#SuperRIZIN3,2,8701.5,2.085
#RIZIN19,1,11550,1.83
#TOP5,3,7802.666666666667,2.143333333333333
#KO,3,7802.666666666667,2.143333333333333
#MMA,3,7802.666666666667,2.143333333333333
#FIGHT,3,7802.666666666667,2.143333333333333
#JAPAN,3,7802.666666666667,2.143333333333333
#RIZIN26,1,6005,2.26
#RIZIN39,1,6005,2.26
#RIZIN45,1,6005,2.26
#RIZIN47,1,6005,2.26
#RIZIN28,1,6005,2.26
#SuperRIZIN,1,5853,2.34
#SuperRIZIN2,1,5853,2.34
#RIZIN37,1,5853,2.34
#RIZIN17,1,5853,2.34
#RIZIN11,1,5853,2.34
#RIZIN_Preparation,1,4514,0.79
#RIZINRivals,1,8285,1.83
#JoseTorres,1,4684,2.68
#10,1,27496,0.94
#NkazimuloZulu,2,5542.5,1.76
#KokiAkada,1,5338,2.88
#AlibekGadzhammatov,2,4424,1.27
#HIROYA,3,6048,2.8366666666666664
#YuJinShin,1,4219,1.26
#YukiIto,2,7402.5,2.73
#RIZINOnTheFly,3,9159,1.6300000000000001
#RIZIN51,7,57161.71428571428,1.1742857142857144
#RIZIN_LANDMARK12,1,8309,1.35
#YangJiYong,1,6296,1.01
#AleksandrSoldatkin,1,6296,1.01
#RIZINBackstageMovie,1,4408,1.35
#RIZINFlyweightGP2025,1,4408,1.35